,time,pm_values
0,2021-09-01,1.8
1,2021-09-02,2.85
2,2021-09-03,0.48
3,2021-09-04,2.41
4,2021-09-05,1.09
5,2021-09-06,2.76
6,2021-09-07,2.94
7,2021-09-08,1.97
8,2021-09-09,2.15
9,2021-09-10,0.74
10,2021-09-11,1.44
11,2021-09-12,2.68
12,2021-09-13,1.18
13,2021-09-14,1.0
14,2021-09-15,2.24
15,2021-09-16,0.83
16,2021-09-17,0.39
17,2021-09-18,0.56
18,2021-09-19,1.71
19,2021-09-20,2.5
20,2021-09-21,1.27
21,2021-09-22,0.65
22,2021-09-23,1.53
23,2021-09-24,1.62
24,2021-09-25,0.92
25,2021-09-26,1.36
26,2021-09-27,2.06
27,2021-09-28,2.32
28,2021-09-29,1.88
29,2021-09-30,2.59
