time,perc_retail,perc_stations,perc_workplaces,perc_airplanes,perc_ships,perc_pm2.5,perc_pm10,perc_NO2,ampi_index,pm2.5_units,pm10_units,no2_units,retail_units,stations_units,workplaces_units,airplanes_units,ships_units,cod_join
2020-02,128.69,130.0,130.0,130.0,130.0,113.78,106.9,115.23,122.34,-21.51,-21.63,-16.33,-6.02,-9.38,-7.01,-39.6,17.33,2
2020-03,85.38,82.22,86.63,124.41,94.88,91.17,88.25,105.16,92.72,23.67,22.67,-9.81,-63.34,-64.26,-47.14,-45.23,-7.4,2
2020-04,70.0,70.0,70.0,82.98,82.01,96.87,90.98,100.19,81.05,12.27,16.19,-6.59,-83.69,-78.29,-62.53,-86.93,-16.46,2
2020-05,93.82,93.16,98.85,82.52,70.0,108.92,100.56,130.0,93.98,-11.79,-6.58,-25.89,-52.17,-51.69,-35.83,-87.4,-24.92,2
2020-06,119.91,113.64,112.26,114.6,,130.0,130.0,113.08,118.55,-53.91,-76.51,-14.94,-17.64,-28.17,-23.43,-55.1,,2
2020-07,128.45,123.43,118.14,111.03,,117.17,116.52,89.25,113.48,-28.27,-44.49,0.49,-6.34,-16.92,-17.98,-58.7,,2
2020-08,130.0,127.51,106.22,121.59,,114.08,109.4,92.26,112.91,-22.1,-27.57,-1.46,-4.29,-12.24,-29.01,-48.07,,2
2020-09,129.22,126.82,118.94,116.31,,96.62,96.53,81.49,106.46,12.77,3.01,5.51,-5.32,-13.03,-17.24,-53.38,,2
2020-10,121.14,122.66,121.28,108.09,,95.92,94.84,76.63,102.9,14.18,7.03,8.66,-16.02,-17.81,-15.08,-61.66,,2
2020-11,101.05,98.92,108.22,99.24,,70.0,70.0,70.0,84.81,65.96,66.03,12.95,-42.6,-45.08,-27.16,-70.57,,2
2020-12,107.23,98.46,101.98,70.0,,86.72,84.51,120.82,92.75,32.55,31.56,-19.95,-34.42,-45.6,-32.94,-100.0,,2
